episode, reward, reward_tard, reward_setup, SSPT, ATCS, MDD, COVERT,Avg_tardy,DDT,PT_var
358,-73.29,-97.77,-48.80,3,94,3,0,11.80,1.0,0.3
359,-78.44,-97.27,-59.60,7,89,4,0,1.53,0.8,0.4
360,-62.99,-70.39,-55.60,8,83,6,3,1.52,1.1,0.5
361,-75.43,-98.66,-52.20,4,91,5,0,5.14,1.0,0.2
362,-70.61,-85.02,-56.20,4,87,6,3,5.29,1.1,0.4
363,-78.17,-96.13,-60.20,5,85,6,4,3.28,0.9,0.3
364,-76.09,-89.78,-62.40,11,82,6,1,2.21,1.1,0.2
365,-72.24,-88.28,-56.20,5,93,2,0,4.49,1.2,0.3
366,-71.50,-83.80,-59.20,4,89,5,2,3.41,1.2,0.4
367,-73.61,-92.62,-54.60,5,91,4,0,2.19,1.1,0.3
368,-71.79,-90.58,-53.00,2,92,5,1,7.12,1.2,0.3
369,-73.36,-88.72,-58.00,11,75,11,3,2.51,1.0,0.5
